;PlayerReplayID;AC_FRAME;Race;NumberOfBuildings;NumberOfWorkers;NumberOfAttackUnits;NumberOfAttacks;RatioAttackToNon;exp_feature1;exp_feature2;exp_feature3;exp_feature4;exp_feature5;exp_feature6;exp_feature7;exp_feature8;exp_feature9;exp_feature10;exp_feature11;exp_feature12;exp_feature13;Results1;Results2;Results3;Results4;Results5;Time
15;1;3649;0;2;9;0;3;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;1;4203;0;2;9;0;3;0.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;1;4515;0;2;9;0;4;0.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;1;4563;0;2;9;0;4;0.2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;1;4971;0;2;9;0;4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;1;5247;0;3;9;0;4;0.19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
22;1;5362;0;3;9;0;4;0.19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
23;1;5544;0;3;9;0;4;0.19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
25;1;6179;0;3;9;0;4;0.17;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
26;1;6459;0;3;9;0;4;0.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
27;1;6587;0;3;9;0;4;0.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
28;1;6722;0;3;9;0;4;0.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
29;1;6987;0;3;9;0;5;0.17;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
30;1;7210;0;3;9;0;5;0.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
31;1;7443;0;3;9;0;5;0.15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
32;1;7901;0;3;9;0;5;0.15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
33;1;7971;0;3;10;0;5;0.15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
34;1;8252;0;3;10;0;6;0.15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
35;1;8619;0;3;10;0;6;0.14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
36;1;8769;0;3;11;0;6;0.14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
37;1;8883;0;3;11;0;6;0.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
38;1;9123;0;4;10;1;6;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
39;1;9442;0;4;10;3;7;0.14;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
40;1;9603;0;4;11;3;8;0.14;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
41;1;9843;0;4;12;4;11;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
42;1;10155;0;4;12;5;11;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
43;1;10412;0;4;13;5;13;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
44;1;10659;0;4;13;5;13;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
45;1;10803;0;4;14;6;13;0.12;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
46;1;11127;0;4;15;8;16;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
47;1;11293;0;4;16;8;19;0.14;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
49;1;11805;0;4;17;10;19;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
50;1;12003;0;6;16;10;25;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
51;1;12262;0;6;17;11;26;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
52;1;12483;0;7;16;12;27;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
53;1;12819;0;7;17;12;29;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
54;1;12963;0;8;16;13;30;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
55;1;13232;0;8;18;13;30;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
56;1;13491;0;8;19;13;30;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
57;1;13731;0;8;20;13;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
58;1;13932;0;9;21;13;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
59;1;14187;0;9;21;14;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
60;1;14412;0;9;24;14;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
61;1;14667;0;9;25;14;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
62;1;14931;0;9;26;15;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
63;1;15249;0;9;27;16;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
64;1;15363;0;9;28;16;32;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
65;1;15627;0;9;28;18;32;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
66;1;15915;0;9;28;22;32;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
67;1;16108;0;9;28;23;37;0.18;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
68;1;16372;0;9;28;23;40;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
71;1;17055;0;9;28;23;41;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
72;1;17307;0;10;27;32;41;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
73;1;17524;0;10;28;33;43;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
74;1;17799;0;10;28;34;50;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
75;1;18006;0;10;28;36;50;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
76;1;18252;0;10;28;39;50;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
77;1;18489;0;11;27;40;55;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
78;1;18724;0;11;28;41;67;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
79;1;19036;0;11;28;43;70;0.25;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
80;1;19211;0;11;28;44;71;0.25;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
81;1;19447;0;11;28;46;73;0.24;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
82;1;19684;0;11;28;49;74;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
83;1;19924;0;11;28;52;79;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
84;1;20161;0;13;26;52;83;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
85;1;20403;0;13;26;55;88;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
86;1;20642;0;13;26;58;90;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
87;1;20883;0;13;26;59;94;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
88;1;21153;0;13;27;59;99;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
89;1;21396;0;13;27;60;100;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
90;1;21601;0;13;28;61;101;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
357;2;3;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:00
358;2;268;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:11
359;2;493;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:21
360;2;751;2;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:32
361;2;988;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:41
362;2;1213;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:51
363;2;1483;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:01:02
364;2;1683;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:01:11
365;2;1923;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:01:21
366;2;2168;2;2;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:01:31
367;2;2438;2;2;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:01:42
368;2;2643;2;2;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:01:51
369;2;2888;2;2;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:02:01
370;2;3127;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:02:11
371;2;3363;2;2;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:02:21
372;2;3613;2;2;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:02:32
373;2;3852;2;2;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:02:42
374;2;4092;2;2;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:02:52
375;2;4333;2;2;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:03:02
376;2;4578;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:12
377;2;4808;2;2;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:22
378;2;5048;2;2;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:32
379;2;5288;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:42
380;2;5523;2;2;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:52
381;2;5773;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:04:02
382;2;6011;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:04:12
383;2;6246;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:04:22
384;2;6493;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:04:33
385;2;6736;2;4;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:04:43
386;2;6968;2;4;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:04:53
387;2;7206;2;4;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:05:03
388;2;7441;2;4;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:05:13
389;2;7690;2;4;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:05:23
390;2;7926;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:05:33
391;2;8168;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:05:43
392;2;8418;2;5;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:05:54
393;2;8653;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:06:03
394;2;8883;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:06:13
395;2;9128;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:06:23
396;2;9368;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:06:33
397;2;9603;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:06:43
398;2;9843;2;5;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:06:53
399;2;10083;2;5;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:07:03
400;2;10328;2;6;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:07:14
401;2;10565;2;6;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:07:24
402;2;10806;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:07:34
403;2;11051;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:07:44
404;2;11321;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:07:55
405;2;11533;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:08:04
406;2;11763;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:08:14
407;2;12018;2;7;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:08:25
408;2;12243;2;7;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:08:34
409;2;12483;2;7;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:08:44
410;2;12738;2;7;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:08:55
411;2;12963;2;8;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:09:04
412;2;13208;2;8;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:09:15
413;2;13452;2;8;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:09:25
414;2;13692;2;8;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:09:35
415;2;13932;2;9;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:09:45
416;2;14162;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:09:55
417;2;14414;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:10:05
418;2;14644;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:10:15
419;2;14892;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:10:25
420;2;15122;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:10:35
421;2;15369;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:10:45
422;2;15627;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:10:56
423;2;15852;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:11:06
424;2;16085;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:11:16
425;2;16327;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:11:26
426;2;16571;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:11:36
427;2;16817;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:11:46
428;2;17042;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:11:56
429;2;17297;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:12:06
430;2;17542;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:12:17
431;2;17767;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:12:26
432;2;18030;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:12:37
433;2;18241;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:12:46
434;2;18486;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:12:56
435;2;18729;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:13:07
436;2;18991;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:13:18
437;2;19210;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:13:27
438;2;19459;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:13:37
439;2;19696;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:13:47
440;2;19922;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:13:57
441;2;20168;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:14:07
442;2;20405;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:14:17
443;2;20643;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:14:27
444;2;20881;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:14:37
445;2;21321;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:14:55
446;2;21367;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:14:57
447;2;21630;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:15:08
714;3;3;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
715;3;340;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
717;3;882;0;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
718;3;980;0;2;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;
721;3;1723;0;2;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
723;3;2271;0;2;4;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
724;3;2408;0;2;4;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
725;3;2654;0;2;4;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
726;3;2901;0;2;4;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
727;3;3160;0;2;5;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
728;3;3382;0;2;5;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
729;3;3602;0;2;5;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
730;3;3924;0;2;5;5;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
731;3;4091;0;2;5;6;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
732;3;4365;0;2;5;7;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
733;3;4563;0;2;5;7;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
734;3;4808;0;2;5;8;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
735;3;5051;0;2;5;9;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
736;3;5294;0;2;5;9;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
737;3;5558;0;2;5;10;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
738;3;5763;0;2;5;11;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;
739;3;6001;0;3;4;12;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;
740;3;6315;0;3;4;13;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;
741;3;6548;0;3;4;13;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;
1071;4;3;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:00
1072;4;268;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:11
1073;4;493;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:21
1074;4;751;2;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:32
1075;4;988;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:41
1076;4;1213;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:51
1077;4;1443;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:01:01
1078;4;1693;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:01:11
1079;4;1928;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:01:21
1080;4;2163;2;3;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:01:31
1081;4;2403;2;3;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:01:41
1082;4;2645;2;3;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:01:51
1083;4;2890;2;3;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:02:01
1084;4;3133;2;3;5;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0:02:12
1085;4;3373;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:02:22
1086;4;3608;2;3;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:02:32
1087;4;3842;2;3;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:02:41
1088;4;4088;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:02:52
1089;4;4327;2;3;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:02
1090;4;4563;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:12
1091;4;4818;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0:03:22
1092;4;5053;2;3;5;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:32
1093;4;5288;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:42
1094;4;5553;2;3;5;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:03:53
1095;4;5778;2;3;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:04:03
1096;4;6003;2;3;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:04:12
1097;4;6253;2;3;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:04:23
1428;5;3;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:00
1429;5;268;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00:11
