;PlayerReplayID;AC_FRAME;Race;NumberOfBuildings;NumberOfWorkers;NumberOfAttackUnits;NumberOfAttacks;RatioAttackToNon;exp_feature1;exp_feature2;exp_feature3;exp_feature4;exp_feature5;exp_feature6;exp_feature7;exp_feature8;exp_feature9;exp_feature10;exp_feature11;exp_feature12;exp_feature13;Results1;Results2;Results3;Results4;;Time
88;2;751;2;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:32
89;2;988;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:41
90;2;1213;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:51
91;2;1483;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:02
92;2;1683;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:11
93;2;1923;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:21
94;2;2168;2;2;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:31
95;2;2438;2;2;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:42
96;2;2643;2;2;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:51
97;2;2888;2;2;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:02:01
98;2;3127;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:02:11
99;2;3363;2;2;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:02:21
100;2;3613;2;2;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:02:32
101;2;3852;2;2;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:02:42
102;2;4092;2;2;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:02:52
103;2;4333;2;2;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:03:02
104;2;4578;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:12
105;2;4808;2;2;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:22
106;2;5048;2;2;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:32
107;2;5288;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:42
108;2;5523;2;2;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:52
109;2;5773;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:04:02
110;2;6011;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:04:12
111;2;6246;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:04:22
112;2;6493;2;2;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:04:33
113;2;6736;2;4;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:04:43
114;2;6968;2;4;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:04:53
115;2;7206;2;4;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:05:03
116;2;7441;2;4;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:05:13
117;2;7690;2;4;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:05:23
118;2;7926;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:05:33
119;2;8168;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:05:43
120;2;8418;2;5;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:05:54
121;2;8653;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:06:03
122;2;8883;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:06:13
123;2;9128;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:06:23
124;2;9368;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:06:33
125;2;9603;2;5;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:06:43
126;2;9843;2;5;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:06:53
127;2;10083;2;5;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:07:03
128;2;10328;2;6;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:07:14
129;2;10565;2;6;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:07:24
130;2;10806;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:07:34
131;2;11051;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:07:44
132;2;11321;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:07:55
133;2;11533;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:08:04
134;2;11763;2;7;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:08:14
135;2;12018;2;7;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:08:25
136;2;12243;2;7;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:08:34
137;2;12483;2;7;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:08:44
138;2;12738;2;7;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:08:55
139;2;12963;2;8;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:09:04
140;2;13208;2;8;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:09:15
141;2;13452;2;8;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:09:25
142;2;13692;2;8;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:09:35
143;2;13932;2;9;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:09:45
144;2;14162;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:09:55
145;2;14414;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:10:05
146;2;14644;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:10:15
147;2;14892;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:10:25
148;2;15122;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:10:35
149;2;15369;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:10:45
150;2;15627;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:10:56
151;2;15852;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:11:06
152;2;16085;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:11:16
153;2;16327;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:11:26
154;2;16571;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:11:36
155;2;16817;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:11:46
156;2;17042;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:11:56
157;2;17297;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:12:06
158;2;17542;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:12:17
159;2;17767;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:12:26
160;2;18030;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:12:37
161;2;18241;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:12:46
162;2;18486;2;9;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:12:56
163;2;18729;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:13:07
164;2;18991;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:13:18
165;2;19210;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:13:27
166;2;19459;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:13:37
167;2;19696;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:13:47
168;2;19922;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:13:57
169;2;20168;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:14:07
170;2;20405;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:14:17
171;2;20643;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:14:27
172;2;20881;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:14:37
173;2;21321;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:14:55
174;2;21367;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:14:57
175;2;21630;2;10;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:15:08
176;3;3;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
177;3;340;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
178;3;882;0;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
179;3;980;0;2;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;;
180;3;1723;0;2;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
181;3;2271;0;2;4;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
182;3;2408;0;2;4;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
183;3;2654;0;2;4;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
184;3;2901;0;2;4;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
185;3;3160;0;2;5;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
186;3;3382;0;2;5;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
187;3;3602;0;2;5;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
188;3;3924;0;2;5;5;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
189;3;4091;0;2;5;6;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
190;3;4365;0;2;5;7;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
191;3;4563;0;2;5;7;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
192;3;4808;0;2;5;8;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
193;3;5051;0;2;5;9;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
194;3;5294;0;2;5;9;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
195;3;5558;0;2;5;10;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
196;3;5763;0;2;5;11;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;
197;3;6001;0;3;4;12;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;;
198;3;6315;0;3;4;13;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;;
199;3;6548;0;3;4;13;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;;
200;4;3;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:00
201;4;268;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:11
202;4;493;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:21
203;4;751;2;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:32
204;4;988;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:41
205;4;1213;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:51
206;4;1443;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:01
207;4;1693;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:11
208;4;1928;2;2;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:21
209;4;2163;2;3;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:01:31
210;4;2403;2;3;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:01:41
211;4;2645;2;3;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:01:51
212;4;2890;2;3;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:02:01
213;4;3133;2;3;5;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;;0:02:12
214;4;3373;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:02:22
215;4;3608;2;3;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:02:32
216;4;3842;2;3;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:02:41
217;4;4088;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:02:52
218;4;4327;2;3;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:02
219;4;4563;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:12
220;4;4818;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;;0:03:22
221;4;5053;2;3;5;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:32
222;4;5288;2;3;5;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:42
223;4;5553;2;3;5;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:03:53
224;4;5778;2;3;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:04:03
225;4;6003;2;3;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:04:12
226;4;6253;2;3;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:04:23
227;5;3;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:00
228;5;268;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:11
229;5;493;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:21
230;5;763;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:32
231;5;988;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:41
232;5;1213;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:51
233;5;1456;2;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:01:01
